==22360== NVPROF is profiling process 22360, command: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling application: /home/beatbat/.conda/envs/py37/bin/python -c from multiprocessing.spawn import spawn_main; spawn_main(tracker_fd=35, pipe_handle=98) --multiprocessing-fork
==22360== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
65.3132s  962.61us                    -               -         -         -         -  6.1250MB  6.2138GB/s    Pageable      Device   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
66.9158s  104.83us           (3136 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ [104274]
66.9160s  271.11us            (256 1 1)       (512 1 1)        31      400B        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>) [104313]
66.9163s  3.5840us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [104321]
66.9163s  2.1760us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [104329]
66.9163s  38.336us           (6272 1 1)       (256 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float) [104352]
66.9163s  4.4058ms            (36 25 2)        (8 32 1)       123  12.020KB        0B         -           -           -           -   Tesla K40c (0)         1         7  cudnn_dgrad_sm35_ldg_nt_64x16x128x8x32 [104370]
66.9208s  168.84us            (224 2 1)       (256 1 1)        56  24.125KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradData4x4<float, float>(cudnn::winograd_nonfused::WinogradDataParams<float, float>) [104389]
66.9209s  112.03us            (224 2 1)       (256 1 1)        56  16.500KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradDelta4x4<float, float>(cudnn::winograd_nonfused::WinogradDeltaParams<float, float>) [104392]
66.9211s  90.913us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [104486]
66.9211s  133.92us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [104503]
66.9211s  132.93us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [104537]
66.9211s  137.09us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [104520]
66.9211s  117.35us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [104418]
66.9212s  115.14us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [104435]
66.9212s  126.15us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [104452]
66.9212s  127.81us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [104469]
66.9213s  131.30us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [104622]
66.9213s  104.00us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [104639]
66.9213s  136.45us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [104673]
66.9214s  110.11us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [104656]
66.9214s  116.67us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [104554]
66.9214s  124.13us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [104571]
66.9214s  128.61us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [104588]
66.9215s  124.83us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [104605]
66.9215s  136.16us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [104758]
66.9215s  134.69us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [104775]
66.9216s  134.56us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [104809]
66.9216s  108.13us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [104792]
66.9216s  114.66us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [104690]
66.9217s  121.86us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [104707]
66.9217s  150.40us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [104724]
66.9217s  162.21us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [104741]
66.9217s  130.53us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        30  sgemm_sm35_ldg_nt_64x16x64x16x16 [104894]
66.9218s  133.92us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        31  sgemm_sm35_ldg_nt_64x16x64x16x16 [104911]
66.9218s  143.23us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        33  sgemm_sm35_ldg_nt_64x16x64x16x16 [104945]
66.9218s  137.99us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        32  sgemm_sm35_ldg_nt_64x16x64x16x16 [104928]
66.9219s  128.29us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [104826]
66.9219s  124.32us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [104843]
66.9219s  118.79us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [104860]
66.9220s  128.61us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [104877]
66.9220s  117.83us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        26  sgemm_sm35_ldg_nt_64x16x64x16x16 [104962]
66.9220s  116.58us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        27  sgemm_sm35_ldg_nt_64x16x64x16x16 [104979]
66.9221s  96.609us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        28  sgemm_sm35_ldg_nt_64x16x64x16x16 [104996]
66.9221s  77.410us              (4 4 1)       (16 16 1)        71  8.0195KB        0B         -           -           -           -   Tesla K40c (0)         1        29  sgemm_sm35_ldg_nt_64x16x64x16x16 [105013]
66.9222s  67.201us             (8 32 1)        (32 8 1)        62  9.0000KB        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, float>) [105033]
66.9223s  61.729us            (256 1 1)       (128 1 1)         9      512B        0B         -           -           -           -   Tesla K40c (0)         1         7  void calc_bias_diff<int=2, float, float, int=128, int=0>(cudnnTensorStruct, float const *, cudnnTensorStruct, float*, float, float, int) [105053]
66.9224s  37.185us           (1152 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105062]
66.9224s  2.3360us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105070]
66.9225s  103.71us           (3136 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_EEvS5_RKS6_EUliE_EEviT1_ [105086]
66.9226s  272.77us            (256 1 1)       (512 1 1)        31      400B        0B         -           -           -           -   Tesla K40c (0)         1         7  void cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>(float, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>, cudnnTensorStruct, float const *, float, float const , float, cudnnTensorStruct*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>*, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const *, cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1> const , cudnn::detail::bn_bw_1C11_kernel_new<float, float, float2, int=512, bool=1, int=1>) [105125]
66.9229s  2.4320us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105133]
66.9229s  2.2080us              (1 1 1)       (512 1 1)         8        0B        0B         -           -           -           -   Tesla K40c (0)         1         7  _ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ [105141]
