------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                         CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
to                                          416.011us        415.968us                1        416.011us        415.968us
empty                                        19.203us         19.488us                1         19.203us         19.488us
is_floating_point                             5.783us          5.312us                1          5.783us          5.312us
HookFunc                                    269.712us        268.640us                1        269.712us        268.640us
view_as                                     127.896us        126.816us                1        127.896us        126.816us
view                                        103.136us        104.128us                1        103.136us        104.128us
conv2d                                   574869.258us     575220.167us                1     574869.258us     575220.167us
convolution                              574838.159us     575193.642us                1     574838.159us     575193.642us
_convolution                             574810.672us     575168.048us                1     574810.672us     575168.048us
contiguous                                   12.187us         11.840us                1         12.187us         11.840us
empty                                        13.230us         12.160us                1         13.230us         12.160us
cudnn_convolution                        574715.088us     575081.401us                1     574715.088us     575081.401us
add_                                        141.824us          8.875us                1        141.824us          8.875us
batch_norm                                  443.825us       1974.438us                1        443.825us       1974.438us
_batch_norm_impl_index                      424.306us       1958.938us                1        424.306us       1958.938us
contiguous                                    4.290us          4.688us                1          4.290us          4.688us
contiguous                                    2.973us          2.438us                1          2.973us          2.438us
contiguous                                    2.949us          1.562us                1          2.949us          1.562us
contiguous                                    2.682us          1.500us                1          2.682us          1.500us
contiguous                                    2.693us          3.938us                1          2.693us          3.938us
cudnn_batch_norm                            364.693us       1903.125us                1        364.693us       1903.125us
threshold_                                   72.021us        145.812us                1         72.021us        145.812us
conv2d                                      356.622us       3133.812us                1        356.622us       3133.812us
convolution                                 348.422us       3130.750us                1        348.422us       3130.750us
_convolution                                341.143us       3127.688us                1        341.143us       3127.688us
contiguous                                    3.487us          1.438us                1          3.487us          1.438us
empty                                         6.787us          1.750us                1          6.787us          1.750us
cudnn_convolution                           306.618us       3118.500us                1        306.618us       3118.500us
add_                                         29.613us          8.875us                1         29.613us          8.875us
batch_norm                                  317.752us       1542.938us                1        317.752us       1542.938us
_batch_norm_impl_index                      309.270us       1540.000us                1        309.270us       1540.000us
contiguous                                    3.808us          1.562us                1          3.808us          1.562us
contiguous                                    2.891us          1.812us                1          2.891us          1.812us
contiguous                                    2.683us          1.438us                1          2.683us          1.438us
contiguous                                    2.752us          1.438us                1          2.752us          1.438us
contiguous                                    2.987us          1.438us                1          2.987us          1.438us
cudnn_batch_norm                            269.595us       1521.375us                1        269.595us       1521.375us
threshold_                                   31.157us        142.438us                1         31.157us        142.438us
max_pool2d_with_indices                     359.406us        171.125us                1        359.406us        171.125us
conv2d                                      149.799us       1324.625us                1        149.799us       1324.625us
convolution                                 141.862us       1321.750us                1        141.862us       1321.750us
_convolution                                135.516us       1318.500us                1        135.516us       1318.500us
contiguous                                    3.843us          1.438us                1          3.843us          1.438us
empty                                         6.837us          1.562us                1          6.837us          1.562us
cudnn_convolution                           104.831us       1309.375us                1        104.831us       1309.375us
add_                                         29.087us          8.000us                1         29.087us          8.000us
batch_norm                                  333.991us        623.062us                1        333.991us        623.062us
_batch_norm_impl_index                      325.749us        620.000us                1        325.749us        620.000us
contiguous                                   12.150us          1.500us                1         12.150us          1.500us
contiguous                                    2.947us          1.875us                1          2.947us          1.875us
contiguous                                    2.715us          1.562us                1          2.715us          1.562us
contiguous                                    2.723us          1.438us                1          2.723us          1.438us
contiguous                                    2.530us          1.438us                1          2.530us          1.438us
cudnn_batch_norm                            277.849us        601.438us                1        277.849us        601.438us
threshold_                                   40.505us         74.188us                1         40.505us         74.188us
conv2d                                      132.116us       2505.312us                1        132.116us       2505.312us
convolution                                 125.336us       2502.000us                1        125.336us       2502.000us
_convolution                                119.279us       2499.062us                1        119.279us       2499.062us
contiguous                                    3.356us          1.438us                1          3.356us          1.438us
empty                                         6.357us          1.812us                1          6.357us          1.812us
cudnn_convolution                            89.771us       2489.312us                1         89.771us       2489.312us
add_                                         28.193us          8.062us                1         28.193us          8.062us
batch_norm                                  102.644us        628.500us                1        102.644us        628.500us
_batch_norm_impl_index                       94.711us        625.438us                1         94.711us        625.438us
contiguous                                    3.353us          1.562us                1          3.353us          1.562us
contiguous                                    3.085us          1.500us                1          3.085us          1.500us
contiguous                                    2.572us          1.438us                1          2.572us          1.438us
contiguous                                    3.037us          1.438us                1          3.037us          1.438us
contiguous                                    2.524us          1.438us                1          2.524us          1.438us
cudnn_batch_norm                             56.766us        607.188us                1         56.766us        607.188us
threshold_                                   28.944us         74.500us                1         28.944us         74.500us
max_pool2d_with_indices                      32.272us         91.250us                1         32.272us         91.250us
to                                        10623.389us       1276.812us                1      10623.389us       1276.812us
empty                                        14.472us          1.562us                1         14.472us          1.562us
to                                          598.771us        593.062us                1        598.771us        593.062us
empty                                        19.964us         21.188us                1         19.964us         21.188us
torch::autograd::GraphRoot                   16.096us          6.250us                1         16.096us          6.250us
MaxPool2DWithIndicesBackward                642.907us        773.312us                1        642.907us        773.312us
max_pool2d_with_indices_backward            551.030us        710.750us                1        551.030us        710.750us
ThresholdBackward1                          130.639us        103.250us                1        130.639us        103.250us
threshold_backward                          101.296us        100.188us                1        101.296us        100.188us
CudnnBatchNormBackward                     1435.073us       1799.500us                1       1435.073us       1799.500us
contiguous                                    7.314us          1.562us                1          7.314us          1.562us
cudnn_batch_norm_backward                  1358.753us       1793.250us                1       1358.753us       1793.250us
torch::autograd::AccumulateGrad              19.199us          1.500us                1         19.199us          1.500us
torch::autograd::AccumulateGrad               7.167us          1.500us                1          7.167us          1.500us
CudnnConvolutionBackward                   1570.385us       3840.750us                1       1570.385us       3840.750us
cudnn_convolution_backward                 1544.172us       3837.375us                1       1544.172us       3837.375us
torch::autograd::AccumulateGrad              10.584us          1.562us                1         10.584us          1.562us
torch::autograd::AccumulateGrad               6.527us          1.500us                1          6.527us          1.500us
ThresholdBackward1                           90.329us        123.500us                1         90.329us        123.500us
threshold_backward                           62.709us        120.438us                1         62.709us        120.438us
CudnnBatchNormBackward                      147.383us        524.625us                1        147.383us        524.625us
contiguous                                    7.104us          1.500us                1          7.104us          1.500us
cudnn_batch_norm_backward                    94.056us        518.375us                1         94.056us        518.375us
torch::autograd::AccumulateGrad               9.046us          1.625us                1          9.046us          1.625us
torch::autograd::AccumulateGrad               6.360us          1.562us                1          6.360us          1.562us
CudnnConvolutionBackward                    578.834us       2656.188us                1        578.834us       2656.188us
cudnn_convolution_backward                  556.331us       2653.125us                1        556.331us       2653.125us
torch::autograd::AccumulateGrad              10.167us          1.562us                1         10.167us          1.562us
torch::autograd::AccumulateGrad               7.094us          1.562us                1          7.094us          1.562us
MaxPool2DWithIndicesBackward                 73.900us        361.562us                1         73.900us        361.562us
max_pool2d_with_indices_backward             53.603us        358.500us                1         53.603us        358.500us
ThresholdBackward1                           81.406us        213.875us                1         81.406us        213.875us
threshold_backward                           64.250us        210.875us                1         64.250us        210.875us
CudnnBatchNormBackward                      143.443us       1258.938us                1        143.443us       1258.938us
contiguous                                    6.720us          1.562us                1          6.720us          1.562us
cudnn_batch_norm_backward                    92.436us       1252.688us                1         92.436us       1252.688us
torch::autograd::AccumulateGrad               9.290us          1.625us                1          9.290us          1.625us
torch::autograd::AccumulateGrad               6.527us          1.562us                1          6.527us          1.562us
CudnnConvolutionBackward                   1817.601us       5647.750us                1       1817.601us       5647.750us
cudnn_convolution_backward                 1793.328us       5644.500us                1       1793.328us       5644.500us
torch::autograd::AccumulateGrad              10.506us          1.750us                1         10.506us          1.750us
torch::autograd::AccumulateGrad               6.984us          1.562us                1          6.984us          1.562us
ThresholdBackward1                           90.236us        192.562us                1         90.236us        192.562us
threshold_backward                           62.196us        189.438us                1         62.196us        189.438us
CudnnBatchNormBackward                      145.206us       1234.188us                1        145.206us       1234.188us
contiguous                                    7.293us          1.688us                1          7.293us          1.688us
